"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"232","Author","Bai, Lin","WROTE_A_PAPER_WITH","233","Author","Chen, Qun"
"234","Author","Al-Khasawneh, Mahmoud Ahmad","WROTE_A_PAPER_WITH","235","Author","Kumar, Vinod"
"236","Author","Fang, Chongrong","WROTE_A_PAPER_WITH","237","Author","Wu, Xiaoming"
"238","Author","Satpute, Sandip","WROTE_A_PAPER_WITH","239","Author","Sorte, Pranav"
"240","Author","He, Danping","WROTE_A_PAPER_WITH","241","Author","Matolak, David W."
"242","Author","Gupta, Deepak","WROTE_A_PAPER_WITH","243","Author","Rahman, Haji"
"244","Author","Wen, Fengtong","WROTE_A_PAPER_WITH","245","Author","Zhang, Xin"
"246","Author","Parto, Mahmoud","WROTE_A_PAPER_WITH","247","Author","Zhou, Yuanlai"
"248","Author","He, Jinding","WROTE_A_PAPER_WITH","249","Author","Zhang, Rongkui"
"250","Author","Lunttila, Timo","WROTE_A_PAPER_WITH","251","Author","Tao, Tao"
"252","Author","Adhikary, Avik Ranjan","WROTE_A_PAPER_WITH","253","Author","Yang, Yang"
"254","Author","Nayak, Nancy","WROTE_A_PAPER_WITH","255","Author","Raj, Vishnu"
"256","Author","Gu, Mianxue","WROTE_A_PAPER_WITH","257","Author","Hong, Haibo"
"258","Author","Cui, Guanghai","WROTE_A_PAPER_WITH","259","Author","Li, Mingchu"
"260","Author","Regani, Deepika Sai","WROTE_A_PAPER_WITH","261","Author","Zhang, Feng"
"262","Author","Kumar, Prabhat","WROTE_A_PAPER_WITH","263","Author","Najmul Islam, A.K.M."
"264","Author","Liu, Honghai","WROTE_A_PAPER_WITH","265","Author","Xu, Shuang"
"266","Author","Fathy, Yasmin","WROTE_A_PAPER_WITH","267","Author","Wang, Chonggang"
"268","Author","Gong, Yunping","WROTE_A_PAPER_WITH","269","Author","Li, Chaoqun"
"270","Author","Wu, Sihan","WROTE_A_PAPER_WITH","271","Author","Zhang, Xue"
"272","Author","Jewsakul, Sukanya","WROTE_A_PAPER_WITH","273","Author","Luk, Man-Ho"
"274","Author","Leng, Yajing","WROTE_A_PAPER_WITH","275","Author","Ma, Bowen"
"276","Author","Bashir, A.K.","WROTE_A_PAPER_WITH","277","Author","Kumar, V. D. Ambeth"
"278","Author","Sanwar Hosen, A.S.M.","WROTE_A_PAPER_WITH","279","Author","Sharma, Pradip Kumar"
"280","Author","Rathod, Nihesh","WROTE_A_PAPER_WITH","281","Author","Subramanian, Renu"
"282","Author","Pandey, Bishwajeet","WROTE_A_PAPER_WITH","283","Author","Singh, Deepa"
"284","Author","He, Chen","WROTE_A_PAPER_WITH","285","Author","Ma, Shaodan"
"286","Author","Dou, Bennian","WROTE_A_PAPER_WITH","287","Author","Xu, Chengzhi"
"288","Author","Chen, Junliang","WROTE_A_PAPER_WITH","289","Author","Cheng, Bo"
"290","Author","Liu, Jiali","WROTE_A_PAPER_WITH","291","Author","Song, Yu"
"292","Author","Chen, Shengyong","WROTE_A_PAPER_WITH","293","Author","Shi, Fan"
"294","Author","Da, Qingan","WROTE_A_PAPER_WITH","295","Author","Zhang, Guoyin"
"296","Author","Li, Bolun","WROTE_A_PAPER_WITH","297","Author","Song, Houbing"
