"~id","~start_node_id","~end_node_id","~relationship_type"
"310","611","612","WROTE_A_PAPER_WITH"
"311","613","614","WROTE_A_PAPER_WITH"
"312","615","616","WROTE_A_PAPER_WITH"
"313","617","618","WROTE_A_PAPER_WITH"
"314","619","620","WROTE_A_PAPER_WITH"
"315","621","622","WROTE_A_PAPER_WITH"
"316","623","624","WROTE_A_PAPER_WITH"
"317","625","626","WROTE_A_PAPER_WITH"
"318","627","628","WROTE_A_PAPER_WITH"
"319","629","630","WROTE_A_PAPER_WITH"
"320","631","632","WROTE_A_PAPER_WITH"
"321","633","634","WROTE_A_PAPER_WITH"
"322","635","636","WROTE_A_PAPER_WITH"
"323","637","638","WROTE_A_PAPER_WITH"
"324","639","640","WROTE_A_PAPER_WITH"
"325","641","642","WROTE_A_PAPER_WITH"
"326","643","644","WROTE_A_PAPER_WITH"
"327","645","646","WROTE_A_PAPER_WITH"
"328","647","574","WROTE_A_PAPER_WITH"
"329","648","649","WROTE_A_PAPER_WITH"
"330","650","651","WROTE_A_PAPER_WITH"
"331","652","653","WROTE_A_PAPER_WITH"
"332","654","655","WROTE_A_PAPER_WITH"
"333","656","657","WROTE_A_PAPER_WITH"
"334","658","659","WROTE_A_PAPER_WITH"
"335","660","661","WROTE_A_PAPER_WITH"
"336","662","663","WROTE_A_PAPER_WITH"
"337","664","665","WROTE_A_PAPER_WITH"
"338","666","667","WROTE_A_PAPER_WITH"
"339","668","669","WROTE_A_PAPER_WITH"
"340","670","671","WROTE_A_PAPER_WITH"
"341","672","673","WROTE_A_PAPER_WITH"
"342","450","674","WROTE_A_PAPER_WITH"
"343","675","676","WROTE_A_PAPER_WITH"
"344","677","678","WROTE_A_PAPER_WITH"
"345","679","680","WROTE_A_PAPER_WITH"
"346","681","682","WROTE_A_PAPER_WITH"
"347","683","684","WROTE_A_PAPER_WITH"
"348","685","686","WROTE_A_PAPER_WITH"
"349","687","688","WROTE_A_PAPER_WITH"
"350","689","690","WROTE_A_PAPER_WITH"
"351","691","692","WROTE_A_PAPER_WITH"
"352","693","694","WROTE_A_PAPER_WITH"
"353","695","696","WROTE_A_PAPER_WITH"
"354","697","698","WROTE_A_PAPER_WITH"
"355","184","699","WROTE_A_PAPER_WITH"
"356","700","701","WROTE_A_PAPER_WITH"
"357","702","703","WROTE_A_PAPER_WITH"
"358","704","705","WROTE_A_PAPER_WITH"
"359","706","707","WROTE_A_PAPER_WITH"
"360","708","709","WROTE_A_PAPER_WITH"
"361","710","711","WROTE_A_PAPER_WITH"
